Date,Confirmed_Cases,Deaths,Daily_CFR (%)
2025-01-01,7,0,0.0
2025-01-02,2,0,0.0
2025-01-03,7,0,0.0
2025-01-04,7,0,0.0
2025-01-05,8,0,0.0
2025-01-06,9,1,11.11111111111111
2025-01-07,5,0,0.0
2025-01-08,2,1,50.0
2025-01-09,5,2,40.0
2025-01-10,3,0,0.0
2025-01-11,2,1,50.0
2025-01-12,12,0,0.0
2025-01-13,5,0,0.0
2025-01-14,15,1,6.666666666666667
2025-01-15,10,1,10.0
2025-01-16,5,0,0.0
2025-01-17,4,0,0.0
2025-01-18,8,1,12.5
2025-01-19,5,0,0.0
2025-01-20,6,0,0.0
2025-01-21,3,2,66.66666666666666
2025-01-22,5,0,0.0
2025-01-23,4,0,0.0
2025-01-24,4,2,50.0
2025-01-25,5,0,0.0
2025-01-26,10,0,0.0
2025-01-27,9,2,22.22222222222222
2025-01-28,9,1,11.11111111111111
2025-01-29,9,1,11.11111111111111
2025-01-30,4,0,0.0
2025-01-31,5,1,20.0
2025-02-01,3,0,0.0
2025-02-02,7,1,14.285714285714285
2025-02-03,12,0,0.0
2025-02-04,10,0,0.0
2025-02-05,9,0,0.0
2025-02-06,7,0,0.0
2025-02-07,11,1,9.090909090909092
2025-02-08,14,1,7.142857142857142
2025-02-09,9,1,11.11111111111111
2025-02-10,11,0,0.0
2025-02-11,16,2,12.5
2025-02-12,8,0,0.0
2025-02-13,8,0,0.0
2025-02-14,5,0,0.0
2025-02-15,18,0,0.0
2025-02-16,15,0,0.0
2025-02-17,16,0,0.0
2025-02-18,17,0,0.0
2025-02-19,10,0,0.0
2025-02-20,17,0,0.0
2025-02-21,14,0,0.0
2025-02-22,14,1,7.142857142857142
2025-02-23,20,0,0.0
2025-02-24,23,0,0.0
2025-02-25,23,4,17.391304347826086
2025-02-26,15,2,13.333333333333334
2025-02-27,17,1,5.88235294117647
2025-02-28,11,1,9.090909090909092
2025-03-01,21,0,0.0
2025-03-02,16,0,0.0
2025-03-03,20,0,0.0
2025-03-04,22,0,0.0
2025-03-05,19,0,0.0
2025-03-06,14,1,7.142857142857142
2025-03-07,17,0,0.0
2025-03-08,18,0,0.0
2025-03-09,18,2,11.11111111111111
2025-03-10,26,1,3.8461538461538463
2025-03-11,19,3,15.789473684210526
2025-03-12,19,0,0.0
2025-03-13,14,2,14.285714285714285
2025-03-14,12,0,0.0
2025-03-15,24,0,0.0
2025-03-16,22,0,0.0
2025-03-17,27,0,0.0
2025-03-18,33,2,6.0606060606060606
2025-03-19,32,0,0.0
2025-03-20,26,0,0.0
2025-03-21,20,0,0.0
2025-03-22,31,0,0.0
2025-03-23,38,0,0.0
2025-03-24,40,0,0.0
2025-03-25,44,0,0.0
2025-03-26,22,2,9.090909090909092
2025-03-27,29,0,0.0
2025-03-28,34,3,8.823529411764707
2025-03-29,35,0,0.0
2025-03-30,38,1,2.631578947368421
2025-03-31,59,5,8.47457627118644
2025-04-01,56,1,1.7857142857142856
2025-04-02,60,0,0.0
2025-04-03,41,2,4.878048780487805
2025-04-04,47,1,2.127659574468085
2025-04-05,49,0,0.0
2025-04-06,71,1,1.4084507042253522
2025-04-07,71,1,1.4084507042253522
2025-04-08,60,3,5.0
2025-04-09,61,1,1.639344262295082
2025-04-10,44,3,6.8181818181818175
2025-04-11,30,1,3.3333333333333335
2025-04-12,55,1,1.8181818181818181
2025-04-13,66,3,4.545454545454546
2025-04-14,59,4,6.779661016949152
2025-04-15,40,2,5.0
2025-04-16,19,6,31.57894736842105
2025-04-17,39,3,7.6923076923076925
2025-04-18,48,0,0.0
2025-04-19,51,2,3.9215686274509802
2025-04-20,80,3,3.75
2025-04-21,68,3,4.411764705882353
2025-04-22,65,4,6.153846153846154
2025-04-23,44,0,0.0
2025-04-24,41,0,0.0
2025-04-25,41,3,7.317073170731707
2025-04-26,38,0,0.0
2025-04-27,68,4,5.88235294117647
2025-04-28,61,8,13.114754098360656
2025-04-29,24,2,8.333333333333332
2025-04-30,41,1,2.4390243902439024
2025-05-01,46,1,2.1739130434782608
2025-05-02,28,4,14.285714285714285
2025-05-03,30,1,3.3333333333333335
2025-05-04,48,4,8.333333333333332
2025-05-05,56,0,0.0
2025-05-06,58,3,5.172413793103448
2025-05-07,43,3,6.976744186046512
2025-05-08,22,2,9.090909090909092
2025-05-09,24,1,4.166666666666666
2025-05-10,48,3,6.25
2025-05-11,40,2,5.0
2025-05-12,52,5,9.615384615384617
2025-05-13,49,2,4.081632653061225
2025-05-14,45,3,6.666666666666667
2025-05-15,39,5,12.82051282051282
2025-05-16,38,3,7.894736842105263
2025-05-17,30,0,0.0
2025-05-18,64,3,4.6875
2025-05-19,57,4,7.017543859649122
2025-05-20,54,2,3.7037037037037033
2025-05-21,45,3,6.666666666666667
2025-05-22,31,2,6.451612903225806
2025-05-23,37,2,5.405405405405405
2025-05-24,37,3,8.108108108108109
2025-05-25,69,4,5.797101449275362
2025-05-26,51,3,5.88235294117647
2025-05-27,48,2,4.166666666666666
2025-05-28,54,4,7.4074074074074066
2025-05-29,29,5,17.24137931034483
2025-05-30,34,1,2.941176470588235
2025-05-31,28,6,21.428571428571427
2025-06-01,64,1,1.5625
2025-06-02,42,1,2.380952380952381
2025-06-03,43,1,2.3255813953488373
2025-06-04,58,3,5.172413793103448
2025-06-05,33,1,3.0303030303030303
2025-06-06,36,4,11.11111111111111
2025-06-07,44,0,0.0
2025-06-08,45,1,2.2222222222222223
2025-06-09,63,3,4.761904761904762
2025-06-10,47,1,2.127659574468085
2025-06-11,33,0,0.0
2025-06-12,38,1,2.631578947368421
2025-06-13,23,3,13.043478260869565
2025-06-14,38,4,10.526315789473683
2025-06-15,62,2,3.225806451612903
2025-06-16,38,3,7.894736842105263
2025-06-17,37,2,5.405405405405405
2025-06-18,35,3,8.571428571428571
2025-06-19,16,1,6.25
2025-06-20,21,2,9.523809523809524
2025-06-21,27,2,7.4074074074074066
2025-06-22,30,0,0.0
2025-06-23,46,0,0.0
2025-06-24,28,2,7.142857142857142
2025-06-25,22,2,9.090909090909092
2025-06-26,21,2,9.523809523809524
2025-06-27,16,3,18.75
2025-06-28,18,1,5.555555555555555
2025-06-29,24,1,4.166666666666666
2025-06-30,27,2,7.4074074074074066
2025-07-01,24,2,8.333333333333332
2025-07-02,13,3,23.076923076923077
2025-07-03,16,3,18.75
2025-07-04,20,1,5.0
2025-07-05,21,1,4.761904761904762
2025-07-06,27,2,7.4074074074074066
2025-07-07,28,2,7.142857142857142
2025-07-08,22,1,4.545454545454546
2025-07-09,17,2,11.76470588235294
2025-07-10,9,0,0.0
2025-07-11,16,3,18.75
2025-07-12,18,1,5.555555555555555
2025-07-13,21,0,0.0
2025-07-14,25,3,12.0
2025-07-15,27,1,3.7037037037037033
2025-07-16,14,1,7.142857142857142
2025-07-17,7,1,14.285714285714285
2025-07-18,11,1,9.090909090909092
2025-07-19,10,0,0.0
2025-07-20,20,1,5.0
2025-07-21,19,3,15.789473684210526
2025-07-22,16,2,12.5
2025-07-23,9,3,33.33333333333333
2025-07-24,13,0,0.0
2025-07-25,20,2,10.0
2025-07-26,19,0,0.0
2025-07-27,19,0,0.0
2025-07-28,13,0,0.0
2025-07-29,13,1,7.6923076923076925
