State_Code,State,ISO_Code
01,AGUASCALIENTES,MXAGS
02,BAJA CALIFORNIA,MXBCN
03,BAJA CALIFORNIA SUR,MXBCS
04,CAMPECHE,MXCAM
05,COAHUILA DE ZARAGOZA,MXCOA
06,COLIMA,MXCOL
07,CHIAPAS,MXCHP
08,CHIHUAHUA,MXCHH
09,CIUDAD DE MÉXICO,MXMEX
10,DURANGO,MXDUR
11,GUANAJUATO,MXGUA
12,GUERRERO,MXGRO
13,HIDALGO,MXHID
14,JALISCO,MXJAL
15,MÉXICO,MXMEX
16,MICHOACÁN DE OCAMPO,MXMIC
17,MORELOS,MXMOR
18,NAYARIT,MXNAY
19,NUEVO LEÓN,MXNLE
20,OAXACA,MXOAX
21,PUEBLA,MXPUE
22,QUERÉTARO,MXQUE
23,QUINTANA ROO,MXROO
24,SAN LUIS POTOSÍ,MXSLP
25,SINALOA,MXSIN
26,SONORA,MXSON
27,TABASCO,MXTAB
28,TAMAULIPAS,MXTAM
29,TLAXCALA,MXTLA
30,VERACRUZ DE IGNACIO DE LA LLAVE,MXVER
31,YUCATÁN,MXYUC
32,ZACATECAS,MXZAC
